Target,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5,Taboo 6,Taboo 7
Fire,hot,burn,flame,smoke,heat,dangerous,match
Doctor,hospital,medicine,sick,patient,nurse,health,cure
School,teacher,student,class,learn,homework,exam,principal
Pizza,cheese,tomato,slice,pepperoni,crust,bake,delivery
Dog,bark,tail,walk,pet,bone,leash,fetch
Phone,call,ring,text,number,mobile,screen,signal
Beach,sand,waves,swim,sun,vacation,sea,towel
Car,drive,engine,wheels,steering,seat,road,brake
Book,read,page,story,author,cover,library,novel
Apple,fruit,red,green,tree,juice,crunchy,pie
Chair,sit,legs,table,seat,furniture,backrest,wood
Computer,screen,keyboard,mouse,internet,type,code,laptop
Rain,wet,cloud,umbrella,storm,drops,weather,puddle
Teacher,school,lesson,classroom,homework,students,mark,blackboard
Milk,cow,drink,white,dairy,glass,cereal,fridge
Train,tracks,station,ride,engine,carriage,ticket,platform
Bread,loaf,slice,bake,toast,butter,yeast,sandwich
Television,screen,watch,channel,remote,program,movie,cable
Table,legs,dining,wood,meal,furniture,flat,surface
Airplane,fly,wings,pilot,airport,flight,takeoff,seatbelt
Bicycle,ride,pedal,wheels,helmet,handlebar,brake,chain
Zoo,animals,cage,wild,visit,lion,monkey,keeper
Chocolate,sweet,brown,bar,candy,milk,dark,sugar
Glasses,eyes,see,lens,frames,vision,spectacles,read
Bed,sleep,pillow,blanket,mattress,night,dream,rest
Music,song,listen,instrument,band,notes,melody,sound
Egg,break,yolk,white,shell,boil,scramble,chicken
Football,kick,goal,team,field,ball,score,net
Toothbrush,teeth,paste,clean,bathroom,bristles,mouth,gum
Camera,photo,lens,picture,snap,flash,focus,shoot
