Target,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5,Taboo 6,Taboo 7
resume,CV,document,experience,work,apply,job,skills
interview,question,answer,candidate,talk,meeting,job,employer
candidate,person,applicant,job,position,interview,resume,apply
application,form,submit,job,resume,candidate,position,cover letter
headhunter,recruiter,talent,search,find,job,executive,hire
recruiter,job,hire,search,candidate,company,find,talent
employer,boss,company,job,hire,manager,business,work
employee,work,company,hire,person,staff,team,position
job,position,work,apply,salary,interview,employer,career
vacancy,opening,job,position,available,role,need,advertise
career,path,work,job,long-term,future,goal,grow
offer,job,salary,position,contract,employer,accept,interview
accept,offer,job,agree,position,letter,sign,yes
reject,decline,no,application,fail,not,candidate,refuse
skills,abilities,experience,learn,strength,job,talent,qualifications
qualifications,degree,diploma,certificate,education,skills,requirement,training
training,learn,skills,program,employee,onboarding,development,job
experience,work,past,background,skills,resume,years,previous
position,role,job,vacancy,title,opening,hire,employee
onboarding,new,employee,start,orientation,training,company,process
benefits,health,insurance,package,job,vacation,retirement,salary
salary,money,pay,offer,income,job,compensation,annual
compensation,salary,pay,bonus,benefits,money,offer,job
contract,agreement,sign,job,terms,position,employment,legal
full-time,hours,job,40,work,employee,contract,position
part-time,hours,work,job,week,employee,schedule,position
freelance,independent,job,project,contract,work,temporary,hire
temporary,short-term,contract,freelance,hire,fill,seasonal,job
internship,student,temporary,job,learn,experience,college,training
referral,recommend,candidate,employee,network,introduce,job,recruit
networking,events,connections,people,job,talk,relationship,opportunity
background check,history,criminal,reference,verify,records,candidate,employer
reference,recommendation,person,previous,employer,job,call,contact
recruitment,hire,process,job,find,talent,candidates,interview
talent,skilled,person,ability,recruiter,hire,job,employee
HR,human,resources,department,recruit,employee,company,manager
human resources,HR,department,employee,hire,company,people,benefits
job board,website,advertisement,apply,search,online,list,vacancy
advertisement,job,posting,board,vacancy,company,hire,position
job fair,event,candidates,companies,meet,network,interview,booth
diversity,inclusive,background,gender,race,workplace,equal,culture
inclusion,diversity,culture,team,respect,belonging,equality,employee
team,group,people,together,work,members,collaborate,department
department,team,section,area,division,HR,group,work
manager,supervisor,boss,lead,team,work,company,employee
interviewer,ask,question,person,candidate,job,HR,speak
job description,role,duties,responsibilities,tasks,position,overview,summary
job posting,advertisement,position,apply,board,online,description,listing
cover letter,write,application,job,introduction,explain,interest,resume
career fair,event,companies,students,opportunity,network,booth,hire
probation,trial,period,employee,new,test,work,review
