Target,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5,Taboo 6,Taboo 7
perro,animal,ladrar,mascota,cola,paseo,dueño,juguete
gato,animal,maullar,bigotes,uñas,dormir,ratón,mascota
coche,vehículo,conducir,motor,ruedas,volante,gasolina,viaje
libro,leer,página,historia,autor,literatura,tapa,biblioteca
sol,calor,día,verano,cielo,estrella,luz,amanecer
luna,noche,cielo,cráter,planeta,brillar,satélite,llena
playa,arena,mar,verano,olas,sol,vacaciones,toalla
montaña,subir,nieve,cima,paisaje,roca,escalar,aventura
avión,volar,aeropuerto,viaje,piloto,maleta,asiento,ventana
escuela,profesor,alumno,clase,estudiar,pizarra,deberes,examen
vino,sabroso,rojo,trabajo,agua,comer,fiesta,profesor
pan,color,animal,olor,otoño,música,trabajo,tocar
queso,familia,ver,viaje,otoño,color,olor,música
silla,hablar,feliz,olor,beber,caminar,fiesta,agua
mesa,caminar,fuego,fruta,profesor,música,animal,circular
puerta,música,calor,libro,trabajo,luz,ver,profesor
ventana,caminar,música,fiesta,beber,viaje,feliz,fuego
ciudad,rojo,olor,agua,fuego,grande,sabroso,profesor
pueblo,hablar,agua,fuego,invierno,feliz,grande,color
río,fruta,hablar,circular,tocar,profesor,fuego,agua
bosque,libro,animal,familia,beber,agua,calor,fruta
amigo,agua,fuego,viaje,comer,olor,invierno,hablar
familia,ver,feliz,olor,música,viaje,color,fiesta
comida,otoño,ver,caminar,sabroso,color,olor,agua
agua,beber,agua,rojo,circular,invierno,caminar,libro
fuego,profesor,música,tocar,otoño,escuchar,agua,rojo
tierra,fuego,trabajo,otoño,luz,escuchar,hablar,tocar
aire,olor,profesor,caminar,música,fiesta,escuchar,fuego
cielo,ver,profesor,luz,música,grande,viaje,libro
estrella,animal,fiesta,trabajo,sabroso,fruta,libro,beber
película,fuego,grande,ver,profesor,circular,feliz,color
teléfono,familia,beber,olor,feliz,otoño,profesor,escuchar
ordenador,feliz,olor,animal,circular,familia,beber,ver
camisa,tocar,grande,música,caminar,color,ver,profesor
zapato,fruta,tocar,luz,circular,feliz,libro,caminar
camino,familia,viaje,tocar,caminar,olor,música,agua
puente,comer,caminar,libro,viaje,otoño,tocar,escuchar
tren,caminar,circular,viaje,olor,animal,profesor,agua
bicicleta,fuego,profesor,familia,calor,tocar,escuchar,trabajo
barco,circular,caminar,fiesta,familia,beber,fuego,animal
doctor,comer,calor,fiesta,viaje,agua,caminar,feliz
enfermera,hablar,libro,familia,caminar,otoño,agua,tocar
hospital,calor,olor,otoño,fruta,trabajo,feliz,sabroso
calle,familia,feliz,animal,profesor,color,comer,rojo
autobús,viaje,rojo,música,agua,luz,comer,invierno
parque,beber,caminar,escuchar,hablar,fiesta,trabajo,tocar
flor,invierno,libro,otoño,fuego,sabroso,rojo,viaje
árbol,escuchar,feliz,familia,hablar,invierno,trabajo,otoño
jardín,sabroso,animal,ver,trabajo,otoño,grande,luz
pez,música,otoño,rojo,circular,grande,color,fiesta
pájaro,feliz,fuego,fruta,grande,trabajo,viaje,comer
león,otoño,calor,caminar,circular,rojo,hablar,beber
