Target,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5,Taboo 6,Taboo 7
ocean,water,sea,salt,wave,blue,boat,vast
river,stream,flow,fresh,bank,current,source,mouth
survey,measure,map,data,field,equipment,area,observe
depth,deep,shallow,measure,ocean,sea,sound,distance
echo,sound,reflect,wave,bounce,underwater,return,signal
current,flow,water,direction,ocean,electric,movement,stream
tide,rise,fall,moon,water,shore,daily,coast
buoy,float,marker,ocean,signal,navigation,warning,anchor
sonar,sound,detect,underwater,technology,signal,map,submarine
harbor,port,boats,safe,dock,ships,coast,anchor
vessel,ship,boat,water,transport,marine,hull,sail
chart,map,navigation,coordinates,data,sea,read,plot
GPS,location,signal,satellite,device,track,position,navigate
satellite,orbit,space,signal,GPS,image,communication,earth
drainage,water,flow,system,pipe,remove,surface,channel
delta,river,mouth,land,sediment,triangle,coast,formation
erosion,wear,soil,wind,water,land,remove,natural
sediment,sand,silt,deposit,river,bottom,layer,particles
coast,shore,land,sea,ocean,beach,line,edge
marine,ocean,sea,life,biology,ecosystem,water,fish
navigation,direction,map,sea,guide,course,travel,route
compass,north,direction,magnet,needle,navigate,tool,circle
surveying,map,measure,land,field,equipment,precision,topography
altitude,height,elevation,measure,above,level,sea,air
datum,reference,level,base,measure,data,standard,point
gauge,measure,instrument,pressure,depth,level,read,device
mooring,anchor,hold,vessel,dock,tie,secure,line
pipeline,pipe,transport,liquid,gas,flow,underground,system
hydrography,water,map,survey,sea,ocean,measure,data
engineer,design,build,technical,problem,solution,structure,math
