Target,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5,Taboo 6,Taboo 7
vacances,voyage,été,repos,plage,montagne,temps,famille
voyage,partir,aller,pays,train,avion,valise,route
avion,vol,aéroport,pilote,ciel,voyager,décoller,atterrir
train,gare,rails,wagon,billet,voyage,aller,conduire
voiture,roues,conduire,route,essence,volant,autoroute,garage
carte,pays,ville,route,papier,direction,dessin,géographie
bagage,valise,sac,affaires,voyage,porter,main,roues
valise,bagage,vêtements,fermer,roues,main,voyage,sac
hôtel,chambre,dormir,lit,clé,réserver,accueil,réception
auberge,hôtel,jeunes,voyageurs,lit,pas cher,dormir,chambre
plage,sable,mer,eau,soleil,maillot,serviette,nager
mer,eau,bleu,plage,vagues,poisson,bateau,nager
montagne,haut,marcher,neige,froid,randonnée,vue,ski
camping,tente,feu,nature,vacances,nuit,forêt,sac de couchage
tente,camping,dormir,tissu,piquet,installer,pluie,extérieur
soleil,jaune,été,ciel,lumière,chaud,jour,briller
piscine,eau,nager,bleu,nuit,hôtel,maillot,profondeur
appareil photo,image,souvenir,vacances,cliquer,filmer,voir,photo
photo,image,souvenir,appareil,vacances,regarder,couleur,papier
souvenir,cadeau,vacances,acheter,objet,voyage,rappeler,photo
pays,France,Espagne,monde,voyager,carte,drapeau,continent
ville,maisons,rue,habiter,voitures,commerces,carte,musée
musée,tableaux,art,visite,culture,pièces,histoire,regarder
guide,visite,parler,montrer,informations,touristes,ville,musée
touriste,voyageur,visiter,ville,pays,photo,vacances,étranger
paysage,beau,vue,nature,montagne,mer,photo,regarder
billet,train,avion,payer,voyage,papier,prix,réserver
aéroport,avion,vol,bagage,douane,attendre,billet,voyager
frontière,carte,pays,passer,contrôle,différent,douane,ligne
douane,contrôle,passeport,valise,vérifier,aéroport,police,limite
passeport,photo,identité,voyage,aéroport,carte,douane,papier
route,voiture,marcher,voyager,direction,carte,bitume,ligne
chemin,marcher,forêt,nature,route,petit,sentier,pied
forêt,arbres,vert,camping,nature,marcher,oiseaux,ombre
aventure,voyage,nouveau,découvrir,inconnu,risque,partir,fun
bateau,eau,mer,voile,moteur,nager,port,voyage
port,bateau,mer,ville,embarquer,quai,eau,départ
métro,train,ville,souterrain,station,ticket,rapide,transport
bus,route,voyager,école,ville,ticket,chauffeur,arrêt
chauffeur,bus,voiture,conduire,personne,travail,taxi,volant
essence,voiture,station,remplir,carburant,prix,réservoir,pompe
station,essence,train,arrêt,bus,gare,ville,métro
grotte,roche,sombre,froid,nature,terre,explorer,souterrain
plongée,mer,masque,eau,respirer,profondeur,bouteille,poisson
carte postale,photo,vacances,envoyer,écrire,souvenir,papier,adresse
montgolfière,air,voler,ciel,panier,haut,vue,ballon
sac à dos,porter,dos,affaires,marche,randonnée,voyage,fermer
clé,hôtel,chambre,ouvrir,porte,fermer,main,réception
randonnée,marcher,chaussures,chemin,montagne,nature,sac,longue
réserver,chambre,hôtel,restaurant,téléphone,place,billet,avant
